DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0672-CHE,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),HANZE:1465,,CHE,Switzerland,Western Europe,Europe,Gondo town (Valais Province),,Flood,No,No,No,,,,,,Lake Maggiore,2000,10,13,2000,10,16,16,,1500,,1500,,,165000,300573,330000,601146,54.89515197,"[{""adm1_code"":2829,""adm1_name"":""Valais""}]",2003-07-01,2025-05-28
2002-0676-CHE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,HANZE:21152,Storm 'Jeanett',CHE,Switzerland,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus Graubunden Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais Vaud Zug Zurich",,,No,No,No,,,Kph,,,,2002,10,27,2002,10,28,1,2,,,2,,,,,,,57.34184015,"[{""adm1_code"":2807,""adm1_name"":""Aargau""},{""adm1_code"":2808,""adm1_name"":""Appenzell Ausser-rhoden""},{""adm1_code"":2809,""adm1_name"":""Appenzell Inner-rhoden""},{""adm1_code"":2810,""adm1_name"":""Basel-landschaft""},{""adm1_code"":2811,""adm1_name"":""Basel-stadt""},{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2815,""adm1_name"":""Glarus""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2822,""adm1_name"":""Sankt Gallen""},{""adm1_code"":2823,""adm1_name"":""Schaffhausen""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2825,""adm1_name"":""Solothurn""},{""adm1_code"":2826,""adm1_name"":""Thurgau""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""},{""adm1_code"":2830,""adm1_name"":""Vaud""},{""adm1_code"":2831,""adm1_name"":""Zug""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2003-07-01,2025-11-12
2002-0743-CHE,No,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,,CHE,Switzerland,Western Europe,Europe,"Graubunden, Uri, Ticino, Geneve, Vaud Provinces",,"Slide (land, mud, snow, rock)",No,No,Yes,,,,,,,2002,11,14,2002,11,14,1,,231,,231,,,30000,52318,180000,313907,57.34184015,"[{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2830,""adm1_name"":""Vaud""}]",2008-03-22,2023-09-25
2003-0003-CHE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,HANZE:20240|HANZE:20437|HANZE:21153|HANZE:342,Storm 'Calvann',CHE,Switzerland,Western Europe,Europe,"Bern, Zurich, Jura provinces",,,No,No,No,,163,Kph,,,,2003,1,2,2003,1,3,1,7,,,7,,,,,5000,8526,58.64355298,"[{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2007-04-16,2025-11-28
2003-0391-CHE,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,CHE,Switzerland,Western Europe,Europe,"Aargau, Appenzll Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Friboug, Genève, Glaurus, Graubünden, Jura, Luzern, Neuchâtel, Nidwalden, Obwalden, Sankt Gallen, Schaffhaussen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,Drought,No,No,No,,,°C,,,,2003,7,,2003,7,,1039,,,,,,,,,280000,477461,58.64355298,"[{""adm1_code"":2807,""adm1_name"":""Aargau""},{""adm1_code"":2808,""adm1_name"":""Appenzell Ausser-rhoden""},{""adm1_code"":2809,""adm1_name"":""Appenzell Inner-rhoden""},{""adm1_code"":2810,""adm1_name"":""Basel-landschaft""},{""adm1_code"":2811,""adm1_name"":""Basel-stadt""},{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2815,""adm1_name"":""Glarus""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2822,""adm1_name"":""Sankt Gallen""},{""adm1_code"":2823,""adm1_name"":""Schaffhausen""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2825,""adm1_name"":""Solothurn""},{""adm1_code"":2826,""adm1_name"":""Thurgau""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""},{""adm1_code"":2830,""adm1_name"":""Vaud""},{""adm1_code"":2831,""adm1_name"":""Zug""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2007-04-16,2023-09-25
2005-0451-CHE,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,HANZE:1466|HANZE:20|HANZE:344,,CHE,Switzerland,Western Europe,Europe,"Bern / Berne, Solothurn, Aargau, Zürich, Glarus, St. Gallen, Graubünden / Grigioni / Grischun, Luzern, Uri, Schwyz, Obwalden, Nidwalden, Zug",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,,,Km2,,,"Danub and tributaries: Isar, Enns, Inn, Aare",2005,8,19,2005,8,26,6,,2500,,2500,795000,1276976,1525000,2449544,2100000,3373143,62.25647853,"[{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2828,""adm1_name"":""Uri""}]",2005-09-06,2025-11-28
2005-0713-CHE,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,CHE,Switzerland,Western Europe,Europe,"Graubunden, Ticino, Valais provinces",,,No,No,No,,-35,°C,,,,2005,12,27,2005,12,30,,,,,,,,,,,,62.25647853,"[{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2829,""adm1_name"":""Valais""}]",2007-01-12,2023-09-25
2006-0124-CHE,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),HANZE:20247|HANZE:20669,,CHE,Switzerland,Western Europe,Europe,"Bern, Graubunden, Ticino, Uri, Valais provinces",,,No,No,No,,,Kph,,,,2006,3,,2006,3,,1,,,,,,,,,,,64.26483222,"[{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""}]",2006-03-13,2025-11-17
2006-0419-CHE,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,HANZE:1467,,CHE,Switzerland,Western Europe,Europe,"Martigny city (Valais province), Bern",Heavy rain,,No,No,No,,364,Km2,46.04,7.39,Dumand river,2006,7,5,2006,7,27,,,3000,,3000,,,,,,,64.26483222,"[{""adm1_code"":2829,""adm1_name"":""Valais""}]",2007-01-07,2025-07-24
2007-0019-CHE,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,HANZE:20034|HANZE:20076|HANZE:20104|HANZE:20250|HANZE:20457|HANZE:20576|HANZE:20763|HANZE:20911|HANZE:21290,Storm 'Kyrill',CHE,Switzerland,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,No,No,No,,,Kph,,,,2007,1,17,2007,1,18,,,,,,,,,,100000,151290,66.09810297,"[{""adm1_code"":2807,""adm1_name"":""Aargau""},{""adm1_code"":2808,""adm1_name"":""Appenzell Ausser-rhoden""},{""adm1_code"":2809,""adm1_name"":""Appenzell Inner-rhoden""},{""adm1_code"":2810,""adm1_name"":""Basel-landschaft""},{""adm1_code"":2811,""adm1_name"":""Basel-stadt""},{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2815,""adm1_name"":""Glarus""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2822,""adm1_name"":""Sankt Gallen""},{""adm1_code"":2823,""adm1_name"":""Schaffhausen""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2825,""adm1_name"":""Solothurn""},{""adm1_code"":2826,""adm1_name"":""Thurgau""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""},{""adm1_code"":2830,""adm1_name"":""Vaud""},{""adm1_code"":2831,""adm1_name"":""Zug""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2008-01-09,2025-11-18
2007-0037-CHE,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,HANZE:21060,,CHE,Switzerland,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,No,No,No,,,Kph,,,,2007,1,23,2007,1,26,,,,,,,,,,,,66.09810297,"[{""adm1_code"":2807,""adm1_name"":""Aargau""},{""adm1_code"":2808,""adm1_name"":""Appenzell Ausser-rhoden""},{""adm1_code"":2809,""adm1_name"":""Appenzell Inner-rhoden""},{""adm1_code"":2810,""adm1_name"":""Basel-landschaft""},{""adm1_code"":2811,""adm1_name"":""Basel-stadt""},{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2814,""adm1_name"":""Geneve""},{""adm1_code"":2815,""adm1_name"":""Glarus""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2817,""adm1_name"":""Jura""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2821,""adm1_name"":""Obwalden""},{""adm1_code"":2822,""adm1_name"":""Sankt Gallen""},{""adm1_code"":2823,""adm1_name"":""Schaffhausen""},{""adm1_code"":2824,""adm1_name"":""Schwyz""},{""adm1_code"":2825,""adm1_name"":""Solothurn""},{""adm1_code"":2826,""adm1_name"":""Thurgau""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""},{""adm1_code"":2830,""adm1_name"":""Vaud""},{""adm1_code"":2831,""adm1_name"":""Zug""},{""adm1_code"":2832,""adm1_name"":""Zurich""}]",2007-01-26,2025-11-18
2007-0349-CHE,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,HANZE:1469,,CHE,Switzerland,Western Europe,Europe,"Bern, Graubunden, Ticino, Uri, Valais, Fribourg, Solothurn, Neuchâtel, Basel-Landschaft, Aargau, Grigioni, Luzern",Heavy rainfall (several waves),,No,No,No,,,Km2,,,AAre,2007,8,7,2007,8,22,1,1,100,,101,,,280000,423613,350000,529516,66.09810297,"[{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2827,""adm1_name"":""Ticino""},{""adm1_code"":2828,""adm1_name"":""Uri""},{""adm1_code"":2829,""adm1_name"":""Valais""}]",2007-12-14,2025-08-07
2009-0273-CHE,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,HANZE:20924,,CHE,Switzerland,Western Europe,Europe,"Bern, Vaud, Fribourg, Luzern, Nidwalden provinces",,Hail,No,No,No,,,Kph,,,,2009,7,23,2009,7,24,,,,,,,,,,1000000,1462167,68.39164268,"[{""adm1_code"":2812,""adm1_name"":""Bern""},{""adm1_code"":2813,""adm1_name"":""Fribourg""},{""adm1_code"":2818,""adm1_name"":""Luzern""},{""adm1_code"":2820,""adm1_name"":""Nidwalden""},{""adm1_code"":2830,""adm1_name"":""Vaud""}]",2009-08-06,2025-11-18
